Review;Product quality;Price;Service Quality;Delivery quality
"guys don't buy this product, waste of money , sound quality is too low& battery worst no use... useless earphones
";Negative;-;-;-
"like
";-;-;-;-
"it worked for 2 days and then got it actual face.very bad qualityi returned it
";-;-;-;-
"overall good item
";Positive;-;-;-
"not bad
";-;-;-;-
"within two days of purchase it stopped working. when put on charging it's not charging and not even switching on.
";-;-;-;-
"good product
";Positive;-;-;-
"product delivery was on time and thumbs up to amazon team. but product quality has disappointed me big time - material for the controller doesn't look like made of any alloys... very plasticky and cheap feel, sound quality is also very poor, lacks base which many of us prefer in our earphones. i know, its chinese make product with 700 bucks of price tag, but has way to go for perfection. overall 2 star rating purely for amazon delivery promise. think before you buy it guys.
";Negative;-;-;-
"west of money
";-;-;-;-
"1) the length of the wire is a couple of inches short2) extremely heavy on one side and keeps falling off from the ear beause of the weight.3) the buds provided with the headset are loose. the bud stays in the ear while the ear phone pops out.4) within a day of using the headset the buds fell off and got lost. there after unable to use this product. the ear phone don't fit properly in the ear without the buds.5) the bluetooth keeps getting disconnected.6) no warning before shutting off, because of low charge. if you are in a call, there is hardly any warning of low battery.
";Negative;-;-;-
"average sound quality, below average noise cancellation. but nothing more can be expected at this price range....2stars max...
";Neutral;-;-;-
"sound quality is okay no bass. it does give a back up for appox 2hrs as mention in the description. however it shouldn't be more than 500.
";Neutral;-;-;-
"sound quality is not up to mark.
";Neutral;-;-;-
"device does not connect to my phone anymore. it did the first time, half a day later does not reconnect at all. some issue with the pairing.
";-;-;-;-
"battery life is very very poor and it is heavy.
";-;-;-;-
"pathetic headphones. u can get better headphones at this price. quality is poor. look of headphones is cheap. if i charged it for 2 hrs, it will for only 1hr.
";Negative;-;-;-
"okay ..not so great.. it's notcatching the wavelength if it crosses the 10 feets
";-;-;-;-
"nice product my add gift wrapper plz add gift wrap
";Positive;-;-;-
"mike weight is heavy and delicated
";-;-;-;-
"not working not a quality product
";-;-;-;-
"dislike
";-;-;-;-
"good earphone for its price with decent build quality.. i felt the bass was a little artificial and the overall sound was not balanced but it does the job.. for this price its a good value for money.
";Neutral;Positive;-;-
"buttons doesnot work
";-;-;-;-
"no bass in this headphones.. but clear sound and best tor calling...
";Positive;-;-;-
"bad quality product, low volume and no bass, music is flat. useful only to take calls, these are not to listen to music. another flaw is buttons, ear is paining when buttons are pressed to take calls or change tracks. not recommended.
";Negative;-;-;-
"pairing issue and cheap quality
";Neutral;-;-;-
"not recommended
";-;-;-;-
"was really excited about the product, i was in office when i received mail and text that it is delivered.. when came home open the packaging with lot of excitement, and found an empty box.. really disappointed..
";-;-;-;-
"its getting disconnected frequentlywhen iam listening to music and stop it, then go to youtube, then the sound is coming through phone speaker even though the headphone is connected.then i have to diconnect the bluetooth and then reconnect. then only it will work.not sure whether the piece is defective or the model itself is like thatreally dissapointed
";-;-;-;-
"i purchased this product in oct 2018. but started using this only after november 2018.it lasted hardly 2 months. by 5th january 2019, the following happened:+ the right earbud stopped working.+ the volume automatically started going down, even though the volume was set to max in the device (my phone) and this bluetooth device+ often started to disconnect frequently - it was like it was having a mind of its own+ i successfully connected with two devices. but almost always one of them gets automatically disconnected after 3-4 hours. we need to re-connect this manually+ noise cancellation is not there. so, if i talk in a crowded place, the other party will not be able to hear me clearly as there would be disturbance along with my voice toomy suggestion: for the amount of money spent, this is definitely not worth. please try out something else other than this. this product is only for people who have money to burn without expecting any returns.
";Neutral;-;-;-
"frequently getting disconnected in d middle of watching videos or listening.. previously bought cross beats... comparing to that.. samsung is really waste.. i had waste the amount and its not worth for it..
";-;-;-;-
"paid the money but see what i got. an empty box.
";-;-;-;-
"i received empty box main bluetooth device is missing from my packet it's really amberissing please revert back as soon as possible
";-;-;-;-
"waste of money. amazon had marked it as under return / refund but when i asked for refund they denied and instead offered me replacement. when product is a crap what we will do with replacement. endless issues with this product:- very frequently disconnect- ear piece are very heavy- many issues while using it on laptop- can't take calls reliably through laptop- voice issue while on laptop
";Negative;-;-;-
"doesn't retain charge even for 2 songs, gets discharged even while not in use & switched off. this is a horrible product by samsung. never buy.
";Negative;-;-;-
"i had brought a simmilar product of sony from a retail shop and its battery life is almost 10 times of this product. and the sony product came at half the cost. the problem now is where to show the samsung set as i have misplaced the receipt. can any one from amazon help. my mail id mohantydrs@gmail.com
";Neutral;-;-;-
"product price is 3799 as per box and samsung , why its quoted 4999
";-;Neutral;-;-
"im writing this review after using it for 6 months.it is working fine..so far good..comfortablesupports good at gym,or at work place..i work in sun..best usage for calls..handsfreebattery life is actually good..once charged works for 3 days without any interuptioni would like to give 5 star if the noise cancellation part was better
";-;-;-;-
"i was happy with its result. but when the warranty finish & exactly after 1 year use the right ear piece stop working due to cable break from inside.... low quality product. but upto 1 year no issue with sound quality, bluetooth range, battery backup.
";Neutral;-;-;-
"its microphone placement is shaky and it has to be held to be able to speak into it, yet the voice heard at the other end is bad quality.
";Negative;-;-;-
"the flexible neck band is ok ok...bt there's no curve so it's gonna hang around ur neck...the last one i used was skullcandy wireless method that ear phone was much better.facing microphone problem in its 2nd month,maybe my bad luck...the battery life is very good and the sound quality is also good.
";Positive;-;-;-
"its just 1 year, left side speaker is not working. waste of money... please dont buy from this seller (duplicate).
";-;-;-;-
"mic is not working properly and bass also not there. so if u looking it for music, do not buy. there is no control on bass even after downloading it's app.
";-;-;-;-
"very good product. but earbuds wire length is a bit long. which supposed to be same as level u. however, this product is more advisable according to the durability
";Neutral;-;-;-
"i am not satisfied with the product.performance not adequatebetter price available tooalso very poor service by amazon in tackling the consumer's problem.these people just make fun of their customers.in the name of follow up they betray instead i will say cheat u
";-;-;Negative;-
"as such the headphone look, feel and deliver at par except they dont support video calling on watsapp or imo, interfere with the internet signal and gives blurred images and broken sound.. sadly has bought it for video call itself .
";Negative;-;-;-
"sound quality and features are good but it's quite heavy... you can feel the weight on your neck
";Positive;-;-;-
"half star also is too much...
";-;-;-;-
"base is low. mike doesn't catch your voice in crowded place. ok if you get it in 2k to 3k
";-;-;-;-
"my indicator light is on in every time. it never off... please help me what should i do.
";-;-;-;-
"one of the worst product, suddenly it stopped working after 5 months. i lightly used less than 1 hr a day.now it not switching on.
";Negative;-;-;-
"sound quality is not good. call receivers are getting humming notice which was annoying.
";Negative;-;-;-
"sometimes bluetooth not working properly..v need to off it and pair again to speaknin bluetooth
";-;-;-;-
"connecting and disconnecting always
";-;-;-;-
"battery life is very poor...
";-;-;-;-
"it pains in the ear. cannot put for more than 10 mins in the ear
";-;-;-;-
"one side speaker not working when the bluetooth continues on disable and enable automatically
";-;-;-;-
"bluetooth conection low...automatic diconnect my phone ....
";-;-;-;-
"samsung is good but i recived in another model samsung
";-;-;-;-
"very poor battery backup and voice disruption during call.. go for skull candy instead , just suggestion
";-;-;-;-
"not good for calling as mic. is not that effective. 70% of time other person cannot hear my voice.
";-;-;-;-
"it's cable is too long then i expected like talk to customer care they refused to refund item
";-;-;-;-
"product not perfect and amazone online shopping application me return ka option hi nahi he...
";-;-;-;-
"worst product. not lasted for 1 week. stopped working
";Negative;-;-;-
"battery not sufficient it's only 2 hours work
";-;-;-;-
"emptt box
";-;-;-;-
"no bass and no anc. not worthy for 4500
";-;-;-;-
"used and damaged product received
";-;-;-;-
"i got my package in good condition but in earphone there is no ear plugs.
";-;-;-;Positive
"very bed
";-;-;-;-
"bakwas product and nither the microphone is working well
";-;-;-;-
"sound is very poor, vibration option also poor
";Negative;-;-;-
"average...not excellent
";-;-;-;-
"battery and song was good cable is so long it's eving problem
";Neutral;-;-;-
"it was broken so easilynot happy with the product
";-;-;-;-
"wire broken poor condition seel alrdy open box
";-;-;-;Negative
"didn't get the same as shown in the images...
";-;-;-;-
"sound is not good and charging cable not working.
";Negative;-;-;-
"when i opend the box. there was nothing inside it
";-;-;-;-
"quality ia not good
";-;-;-;-
"no satisfied
";-;-;-;-
"sound clarity is not up to the mark
";-;-;-;-
"worst product damaged product
";Negative;-;-;-
"right side earbud didnt work proper
";-;-;-;-
"bass is perfect on this price
";-;-;-;-
"sound receptor is very bad
";-;-;-;-
"sounds not good
";-;-;-;-
"this product is dubilicate
";Neutral;-;-;-
"i got a broken piece
";-;-;-;-
"refund
";-;-;-;-
"button not working
";-;-;-;-
"waste
";-;-;-;-
"not upto the mark
";-;-;-;-
"battery poor performance
";Negative;-;-;-
"ok
";-;-;-;-
"prosstylish lookit supports voice commandconsit lacks basic function like music track changesound quality not very good as expected from a dual speaker system.hand free calling some time not functions.noise cancellation a mith no such thing existing in this deviceno provision for cable management.
";Positive;-;-;-
"audio started getting distorted in left earpiece by third week of purchase. it doesn't even charge now.return window closed on 10th day, and this product has become unusable by 25th day of occasional usage(1-2hrs/day).i wish amazon could return it to the seller and arrange for a replacement rather than us making countless trips to the service center.utter disappointment!!
";Neutral;-;-;-
"it's better to buy from samsung store don't know what happens in online electronic item are good or know we can't understand
";Neutral;-;-;-
"thankfully my earphones lasted for 11 months,just one month before the warranty expires...i did got a replacement but shocking thing is the service ppl told me many got this replaced within two months,ur lucky...so think...if u hav waste money to spend on send it to me
";-;-;-;-
"received defective product. one earplug not working. also it's not a new product . received a used one. don't trust amazon. very disappointed.
";Neutral;-;-;-
"dont buy these , customer care will easily tell u that ur wireless is out of warranty and u can't do anything.
";-;-;-;-
"looks like a great headphone. sound is not that great at all. very very low. a better one in comparison to this will be skullcandy method wireless series which is more comfortable and easy to use and great on sound quality. disappointed with samsung u flex
";Negative;-;-;-
"dnt buy, normal headphones just like chinese headphone. sound quality is not good as we expect form samsung. connecting cable very thin, delicate, always need to care.....tention.
";Negative;-;-;-
"prodyct fine but you didn't provide me bill
";-;-;-;-
"worst. don't buy girls.
";-;-;-;-
"it's not a good product sound is ok .it's quality wise worst product battery very poor .i am replace this headphone three times from samsung service center
";Negative;-;-;-
"even though, the sound quality and in ear design is good, for couple of ergonomic reasons, i am not satisfied with the following features in the ear phones:1. skipping/changing songs- very difficult. need to hold for 2 secs to change- which is very difficult while you are on a jog/fast run. need to completely slow down and hold the button.2. volume changing button is inside and it takes couple of seconds to locate the volume button and press. tedious and very much iritating.3. the driver set and mic piece is very large and and heavy and which makes the ear piece to fall off while on a run/jog.4. there is no option for clipping to our sports wear to avoid a fall off.i had faced this troubles more number of time in first 1 hour of the usage. i feel my present iphone wired earphones are the best.please consider this feedback and have some deign modification.i dont have any feedback on the seller. seller communication and delivery was perfect and very much satisfied.i have requested for the refund for earphone.
";Neutral;-;-;-
"i'm not happy with this product. if you've use jbl earphones before, you won't get feel like jbl from this product. i've purchased this product in ""rs 2399""?? but made quality is not like the price. and important topic is, after every few minutes it'll automatically disconnect from device you connected if you get any call. sometimes it unable to response when we've to power off the earphones. if you're reading this don't buy this product, go for another one otherwise order from jbl official site, you'll get low price also.
";-;Negative;-;-
"i used it with oneplus 6. the sound quality is very poor. there is no way you can increase the sound output.the built is okay. earphones fit nicely in the ear.also there is issue of music not playing after a call in between.overall suggestions don't buy it. no point in purchasing when you can't hear music.
";Negative;-;-;-
"the product i recieved is not even original. this is really disappointing i saw the same earphones at croma which were genuine and sound quality was way better than these. material used for this product is awful.
";Negative;-;-;-
"i bought these a few days back and after a lot of thought. here's my impression:pros:1. sound quality - these bluetooth earphones are quite clear and crisp which i loved, however i find that on call and even in general the volume output is low so often you have to keep it on maximum which i don't think it's heathy at all.2. noise cancellation - these earphones have zero noise cancellation since they are not earbud style, so if you are in noisy traffic chances are you will struggle to hear music and the caller on the line3. bluetooth range - the range is good, you can get as far as one room away with no distortion nor disturbance which is very pleasant, i really liked that. however it struggles to stay connected should you travel any further than that. decent range, works for me4. built quality - the build quality is as can be expected for an earphone in the range but even then it's good, well finished and the flat cable really does help quite a bit to keep from a tangled mess!5. battery life - with medium usage it lasted me close to 1½ days on a single charge which is not shabby.cons:1. the design of the headset with the battery on the one side and the microphone unit on the other is very flawed because inadvertently if you are using only one earphone the battery unit pulls the microphone to the back of your head and you have to constantly adjust. it happens even when you wear both, either a neckband on the section that goes around or even a clip to tighten the wire on the back of the head would have been a good addition2. the earphones - i found that since these rest just inside the ear opening they need constant adjusting as they tend to shift as you are working or moving, plus my ears started hurting a little as some point, not to the extent of returning these or not keeping them in but i believe providing mini ear hooks would have been a good idea so that they keep the earphones snug and immobile
";Negative;-;-;-
"bought this 1 month back. very impressive sound quality and reasonable bass and noise cancellation as well. but lacking few important features. 1) no multipoint connection. you can pair to only one device at a time 2) no auto off (battery saving feature) when not in connection with any of your devices. it drains battery at the end of the day even if not connected! and not available to use (due to batter drain throughout the day) when you really want to use it. 3) no magnet in the backside of the earbuds. so, you need to take extra care when you hang them around your neck.i am unhappy with these drawbacks at this price because, my 1200rs bt earbuds is having these features built in. hence giving 3* even though i like the sound quality.
";Neutral;-;-;-
"first of all let me tell you the cons of this productcons:--> ergonomically poor design, the buds do not fit in ear they tend to slip off since it's metallic.--> since it's not a in ear type and metallic, you can't keep the buds more than 30min, you start getting pain.--> length of the cable is not as shown in the display images, it's lengthy and gets tangled.--> button quality is not up to the mark. ok ok--> battery life is poor. it does not even last for 4 hours.--> never expected jbl would do such poor engineering and did very bad ergonomic design for this product.--> since the bud size is small i thought i could use it while riding bike with my helmet on. but as i told it's so slippery, there is no way you can use it with your helmet on. i was very disappointed with all these points.pros:--> sound quality is good. no complaints on that.i would definitely not suggest this product to anyone. it's up to you all.
";Positive;-;-;-
"the earphones don't fit my ears!within 2 hours of delivery, i called back amazon for a return. but they said return would only be done for a damaged product, so i've to ""live with it"" even if it doesn't fit my ears and i've to hold it with both my hands to keep it in place!moreover it's extremely uncomfortable as there is no rubber.sound quality seems decent but unfortunately they are so loose in my ears that i'm unable to judge it well. most of the sound goes out of my ears!the description said its metal earphones, but somehow it feels plastic, so i don't want to fondle with it too much.customer care said i could buy some ear clips so that they stay on my ears but i'm not able to find a correct match for it.
";Negative;-;-;-
"1. you have to be on 100% volume in the mobile to hear some good sound in earphones.2. battery comes around 3-4hours.3. comfortable in the ear but wire size is uneven and a big minus. it is bit large than it supposed to be.4. sound quality is ok , not great and not very poor. i give 35 marks for sound quality.5. device quality is bit poor, attached a pic . in that you can observe how it is after 1 month.6. bluetooth range is also ok kind not more than 10feet. if you are in different room it is not connecting.finally compare to level u, this stays bit low in terms of sound quality and bluetooth range, but quality wise this is somewhat better than level u. because my level u got broken in the middle and bluetooth is connecting now. this earphones are idea for listening some stuff in youtube but not recommended for music lovers.
";Positive;-;-;-
"product got delivered on 03-feb-2019. microphone stopped working after one month in first week of mar-2019. today is 3th april, exactly from last 1 month i am searching for service center which accept headphones repairs and trying to get in touch in with jbl officials; however i am not able to due pathetic jbl after sales service. they claim they do not handle headphones nor do they revert to mails (send to customer care and service center guys).update: after almost one month of following up with jbl, i received brand new headphones.happy with it. but customer service is slow to respond.
";-;-;Neutral;-
"ear piece is not comfortable in ear....feel irritate and little pain....and while using games like pubg and other application microphone not working/supporting
";-;-;-;-
"sound quality poor, seems like a very cheap product labelled jbl, didnot expect this bad earphone for rs. 2400. the worst of in ear also deliver better sound.must say it is light weight and has sattisfactory battery life.dont ever go if you are music freak and live quality sound.sound volume is very very low, noise cancellation is not poor it is just not there. i wish there was a return option.
";Negative;-;-;-
"i am writing this review after using these headphones for 3months.though jbl is a brand name but this headset has connectivity issue. i tried using them on different occasions but they failed to prove jbl as a brand. sound is good but the start and pause button has started giving me trouble at time does work.
";Positive;-;-;-
"well sorry to say that the sound quality is good. but its not worth buying it lacks the basic functionality of a good headphone.i want to return itthe battery life is so pathetic that it never lasts more than 3 hours. i previously owned sansung level u and i miss the 2 day battery life. ease of use and the way it connected.this one disconnects automatically and then has to be turned off and on many times.i hate it i hate it do not buy. instead go for samsung level u.
";Positive;-;-;-
"didn't like the product earbuds, they are not at all comfortable. asked my few other friends to try it on, even they said not comfortable. starts paining in the ear after 20 mins of usage, which results into massive headache.also there's no return policy from amazon nor jbl as well.feels like both companies doesn't care about customer complaint.my suggestion would be to buy another model except this.
";-;-;-;-
"one of the most uncomfortable headphones i tried.actually, i bought this from amazon with feeling that i can return if i didn't like the product (and i confirmed the same from one customer care executive). but, when i tried to raise return request it was denied. i told them it's uncomfortable to wear (maybe issue with my ear size), and there are no earpads using which i can wear it, but the so-called technical guy was not listening. he was just insisting that i should try the same and give us call on the last day for return (unfortunately i went out on tour during the same, so they are struck with me). regarding product, if it fits your ear fine i think you will love this product. if you have sensitive ears, a big no for you.
";-;-;-;-
"now that i've been using the product for about a month i'll discuss the pros and cons of the earphones in a detailed way.pros- sound quality is good. you can feel the kicks when it comes to hard hitting songs. sound has clarity and bass and treble is well balanced.cons- the earphones are not at all comfortable, they keep falling often and it really pains the ear for long working sessions. you cannot keep it in your ear for more than an hour or two. and regarding the sound, it gets distorted at high volume and also the bass gets lost. at mid-volume it's okay.and regarding the battery, it's really terrible. it's written that you can use it for six hours but i can hardly use it for four hours. the battery is really disturbing.the bluetooth connectivity isn't bad but it gets distorted over a small range. like if my phone is in the next room i can play the dock in the current room. but if your phone is in the next room you'll not be able to connect to these earphones from the current room.overall i would say it's okay if you are just buying it for leisure but if you're buying it for jogging or other workout sessions then go for other earphones. these one's are not usable for working out. the buds will keep falling. considering other reputed brands i'd say that these earphones are okay and not bad at this price range.
";Neutral;-;-;-
"worst blue tooth don't buy cost is touch try for 200rs those are better compare to this. no ear buds ear is paining
";-;-;-;-
"i received it yesterday. but i was amazed to see the poor quality of packing done to these earphones.1. wrapped inside a cheap polycover with some chinese symbols printed over it.2. it was tape sealed instead of air lock.3. the seal of box was not holographic. just a piece of tape cut from tape machine.4. quality of material used for making body of earphones is quiet cheap.i'm don't have second thoughts to, that these earphones are not genuine jbl. they are duplicate.kindly don't buy. you can't even get refund. they are non refundable.
";Neutral;-;-;-
"i don't know why people are rating noise cancellation for these earphones. it doesn't apply here. if you want noise cancellation earphones/headphones then you have to pay much extra bucks and buy which specifically mentions 'noise cancellation headphones'
";-;-;-;-
"i think amazon has started selling copy or fake products. i have ordered two things. first this gadget n second one is an another device. talking about this jbl headphones , when i opened the amazon package, the seal of the box was open n the warranty n information booklet packet was also torn. now about the product , the product quantity is so poor that it's hard to believe that this is a original jbl product.and now when i'm requesting for returning of the product, the seller is not accepting it . they are just replacing it. and also for replacement they are asking for 1 month time.
";-;-;-;-
"not at all satisfied no noise canceling also doesn't fit in the ears properly. plus the buds also coming out. no point spending those bucks
";-;-;-;-
"i hardly used this product for 2 months and all of a sudden it stopped working. i can only charge this device but not able to switch it on at all. wasted 3000bugs for this. have a warranty, but don't know how to replace or repair it. no support to help too.
";-;-;-;-
"hi,i bought this item with lot of expectation and first impressions was good. i do not prefer ear bud headphones hence i bought this one. within 5 months rubber covering of right earbud removed autimatically ( glue issue ) when i check the same for left, its also having adhesion issue. i contacted jbl and they closed this issue as its physical damage. this damage is due to the non - durability of 2500/- product only. this is not earbud type hence i cannot have a replacement other than throw my headset. thankyou jbl for selling a non durable product.
";Neutral;-;-;-
"the sound quality is very mediocre and there is absolutely no noise cancellation, the mic sends across a lot of noise. very disappointing, to say the least.
";Neutral;-;-;-
"can't believe this is a jbl product. not suitable for running due to the charging port and volume blocks being heavy causing the wire to bounce around while running and eventually pull the earphones off. terrible!!sound quality is also very average.boat, phillips are definitely better. spent a lot of money on this and now no return option.
";Neutral;-;-;-
"sound quality is average. after a month it stopped working. they have no after sale service. they ask for the device and never send it back. its not worth a lot of money but crooks should be taught a lesson so i will file a police complaint. i’ll neevr recommend you to buy this.
";Neutral;-;-;-
"recently i bought jbl tune205 bt. the quality of the sound is great and comfortable to use for long usage. the earbuds are same as iphone earphones. the reason for 3 stars is because it doesn't work with imo/viber/messenger voice calls. during the voice calls on these apps the sound comes through mobile speaker not the bluetooth earphones, but on regular mobile calls it works perfectly fine.
";Positive;-;-;-
"for being priced at inr 2,199 (that is how much i got it at) it clearly lacks the jbl standard. i haven't yet tested the battery life or noise cancellation but i'm not concerned about them tbh. it's the sound which prompted me to buy these earpods and i'm very disappointed with the sound quality and had they been offered at even half the price i got it at, it still wouldn't have been a good deal.
";Positive;-;-;-
"these pair of headphones were supplied by appario retail pvt. ltd. were far from original, they appeared to be of some cheap quality china plastic stuff forget the sound quality also the packing was cheap with no seal and stickers partly removed and replaced from the headphone, i was told they are not returnable so they placed a replacement order with a promise to deliver original product however this time it was much worse faded plastic colour forget metal also it does not have any magnetic effect as mentioned in the product description just fake and duplicate waste of time and money please do not buy until and unless it's genuine, the seller does not sell genuine stuff
";Positive;-;-;Neutral
"accepted more from jbl.not satisfied.good to listing music. sound quality awsome for music.but not satisfied with calling. to basic product not effective . no noise calling.you not able to call on road or traffic even while you drive bike at speed of 30km with the helmet.my main purpose to take a call when i busy with other activities.totally disappointed for calling and battery performance. i need to charge two times a day.
";Positive;-;-;-
"first of all i want to convey jbl to add to some quality in their products if they are charging such a high price for them. i want to share my honest observation and experience about my jbl bt.1. i bought this for the price of rs. 2199/- which is quite high in comparison to other bt devices containg same features2. noise cancellation is really poor that if i am outside somewhere the another caller is hardly able to understand the voice properly.3. i bought this device two months back from the very first day it gets disconnected from my mobile whenever any call come then i have to mannually connect it.4. now its microphone stopped working and the worst part is i deposited it to the jbl service center on 9th may 2019, they told me that they will take the time of 15days to replace the product even after waiting for more than 20 days i have not recieved any satisfactory answer from jbl customer support then what the hell the term warranty makes any sense.now they told me that they don't have the same product in the stock and they also don't know when it will be in stock.i am highly disappointed from the customer service from such a highly reputed brand jbl, in my opinion this is just a ordinary bt earphones with a tag of jbl and no quality features.i request jbl to look into the matter as soon as possible and arrange to replace my product.my service request no. is dl-e250519-25010
";-;Neutral;-;-
"one of the worst in so far i've used. disconnects automatically. to connect it back i've to off and on sometimes. totally disappointed.base is just enough. battery life isn't that great to 3.5-4hrs on max usage. can't use it for commute purposes. maybe just gym or jogging. little heavy on the weight side. so they'll drop pretty easily. need to take care of that too. totally dissatisfied. returned the product. ????
";-;-;-;-
"i think worst bluetooth headphones i have ever owned .it's totally incompatible with oneplus cannot even speak on a call .sound is okay nothing great .battery life is bad i found it to give about 4 hours of useage.the way it fits into the ear is the worst of all .i don't recommend people buy this product.i'm on the verge of returning mine .
";-;-;-;-
"useless earphone purchased it last month and with in 30 days of usage right speaker stopped working and absence of noise cancellation makes sound more horrible. sheer wastage of money..
";Negative;-;-;-
"this product is just meant for music not for calls. there is lot of disturbance during the call & all the connectivity range is very poor. not worth. my basic purpose was to take calls, but it did not served the purpose. not a good buy.
";-;Positive;-;-
"this is an attempt by jbl to make a different earpod style but ends up with an average product. the build quality is good and the sound quality is better but it's not like the apple 3.5 mm earpods. i have been using apple earpods since last 4-5 years and i know their quality of sound and bass. on the other hand this jbl has got earplugs made up of rubber and plastic and a metal finish which is rather painful for ears.
";Positive;-;-;-
"i am using this earphones since 2 months therefore i am the right person to tell you about this earphones.so the pros and cons of this earphones are:-pros-1.jbl brand name2.good build qualitycons-1.low battery life i.e. 6 hours if you listen to song at a middle level volume.2.long time required for charging approx 2 hours3.noise cancellation is equal to zero4.this earphone hardly fit in any ear5.low sound6.only bass no trebel and midsconclusion:-there are other better options it's a no from my side
";-;-;-;-
"until it was working, the product was great. in fact, the other two pieces of the same item i ordered for friends are working fine, but this particular piece stopped working after 2 weeks. it simply cannot be switched on. the ten-day replacement window has closed, so it is unlikely that the seller will make a replacement. given the fairly expensive model and a reliable brand, i am extremely disappointed with the product.
";Positive;-;-;-
"good product nice quality.. good sound quality. my only concern is the head set is not fitting properly in my ears as it's not a ear bud type. this is the only reason that i returned this product.
";Positive;-;-;-
"jbl t205bt is light weight, flexible and easy to carry. sound quality is good. bluetooth connects very fast. build quality is very good. but the design of earpiece is little different from ibuds, hence ot is quite uncomfortable for ears. bluetooth connection quality is not good for calls. sound cracks and breaks very often. battery is ok for normal daily use. ( about 3 and half hours of music play with whole day connection with mobile can be expected). biggest drawback is noise cancellation is terrible. you can not get good music in traffic or while riding.
";Positive;-;-;-
"for a product thats made for mobility, this pair of earphones just is absolutely not made for the gym. the built quality is tacky, plasticky. earphones are large and not in-ear so they slip out often. there's no clip or fastening mechanism to keep them attached or in-ear. worst of all, 10 days of use in profuse sweat and moisture has killed them. the bluetooth connectivity comes on and off whenever it pleases, rendering them totally useless. not at all worth the price.
";Neutral;-;-;-
"i bought them from amazon, ans they were okay, just average sounding earphones, but after a few days, left earpiece started giving me problem such as low sound or sometimes no sound at all. i tried resetting them but nothing worked, i tried replacing them and the window got expired, i called harman and they informed i need to send them to delhi so they can have a look and check them, for like 2k i had to go through so much trouble. although the delivery was on time as expected but things get worse when customer service is not good or helpful.
";Negative;-;Negative;-
"veey bad bluetooth connectivity... very bad for calling... constantly u have to take ur adjust mic near mouth otherwise ur voice will not be audible to nyone.. also very very bad for running... u cannot run while wearing this...it will constantly sweep and fall from one sides. also coz of precepatation, one side of the earphone stopped working. replaced it once, then replaced it again and finnaly returend and got a refund.please dont buy this one and waste ur tym n money
";-;-;-;-
"the sound quality is no doubt good but the ear-pods keep slipping out of the ear.seems the design guys forgot to put the product in their ears.wastage of money... dont buy
";Positive;-;-;-
"headphones are excellent and sound quality is also good, but the only problem is that it is not very comfortable in ears. you cant use it continuously for more than 2hrs otherwise your ear will start paining.i did compare it to iphone's headphone, and the difference and the reason for pain in ears was that the buds of jbl headphones are bigger than that of iphone's. and that's why not at all comfortable in ears.now my ears are paining like hell and i had to see an ent doctor.
";Positive;-;-;-
"the sound quality and noise cancellation is good.battery does not seem to last for 6 hours of usage.after 10 days of purchase, the devices charging started giving problems. after several attempts it charged only till 70%.return period is over. the customer care number of harman company is always engaged.
";Neutral;-;-;-
"first of all before buying the product, read whether the product can be returned back or its exchangable. i lost my 2000 rs, since this product cannot be returned back. it's giving immense pain on the earside due to its shape. what's the use of sound or bass quality if i cannot use this product. please shop intelligently, amazon will continue to make money at your discomfort
";-;-;-;-
"wow amazing, i wished i had not fallen for the trap and bought a normal wired set.21 is day into daily 6 hours of listening and now they wont charge or power on, guess its a long queue of unwelcoming support folks if any!!! hope this helps your decision future buyers!!!gl
";-;-;-;-
"bluetooth connectivity :- goodnoise cancellation:- for me the noise cancellation was not working in market place.sound quality:- in a silence place the sound is come
";-;-;-;-
"doesn't work properly has so many bugs. please don't buy this product. this is the most irritating bluetooth device i have ever seen in my entire life. please don't buy this product
";-;-;-;-
"awful quality the rubber part of the buds fell off after just a month and the saddest part is that it was glued with feviquick!plus there is no service in goa so wouldn’t recommend and also this was my first experience of jbl and it sucked sooooooo bad!!!!!
";Negative;-;-;-
"earphone is not working up to the mark. i had to replace it and the replaced one also is having sound issue. i am not able to hear clearly on calls. i get robotic sound of the opposite person on call and ultimately i have switch back to receiver mode on phone to hear them clearly. also while listening to songs there is interruption. earphones are of no use for me!! amazon can you please refund my money??
";Neutral;-;-;-
"the earphones are bit too long to be the bluetooth ones.mic is not sensitive. you have to stick unusually big mic on your face that really looks stupid.sound quality for music is good. for talking on phone it's a 'do not buy'while you are driving it won't work that great.
";Positive;-;-;-
not worth it. i had a samsung level u before this. i bought a new one just because i had the old one for 3yrs. i'm disappointed with the fitting. it doesn't have any other size buds. it doesn't fit well inside my ear. it feels like it'll fall off. doesn't though.the buttons look cheap.i would go to my level u anyday ;-;-;-;-
"low quality
";Negative;-;-;-
"its an ok head set, not happy with the sound and volume....too low.very dissatisfied @ current price of rs. 1999/- i have iball musi sport which was much better and it's available for $1199.the cable looks weird and is very long, plus the style factor is missing.
";-;Neutral;-;-
"the placement of the mic is too far down the cord which actually goes behind the collar and therefore my voice doesn't reach to the person on the other side. i have to bring the mic near to my mouth so that he can hear me. this actually fails the purpose of hands free since one hand gets engaged in holding the mic near to my mouth
";-;-;-;-
"product is fine, not as expected. runners will face an issue coz length of wire quite long. durability is good.
";Positive;-;-;-
